Country,Average male height,Average female height,Sampled Ages
Cameroon-Urban,172.1 cm (5ft 8in),162.0 cm (5ft 4in),35-44
Canada,175.1 cm (5ft 9in),162.3 cm (5ft 4in),18-79
Canada,176.0 cm (5ft 9 1/2in),163.3 cm (5ft 4 1/2in),25-44
Central African Republic,-,158.9 cm (5ft 2 1/2in),25-49
Chad,-,162.6 cm (5ft 4in),25-49
Chile,169.6 cm (5ft 7in),156.1 cm (5ft 1 1/2in),15
Chile,171.2 cm (5ft 7 1/2in),157.2 cm (5ft 2in),25-44
Chile,171 cm (5ft 7 1/2in),159.1 cm (5ft 2 1/2in),15-24
"China, People's Republic of",167.1 cm (5ft 6in),155.8 cm (5ft 1 1/2in),18
China,172.1 cm (5ft 8in),160.1 cm (5ft 3in),19
Mainland,,,
China,170.2 cm (5ft 7in),158.6 cm (5ft 2 1/2in),17
People's Republic of-Urban,,,
China,166.3 cm (5ft 5 1/2in),157.0 cm (5ft 2in),17
People's Republic of-Rural,,,
China,174.7 cm (5ft 9in),161.3 cm (5ft 3 1/2in),21
People's Republic of-Beijing,,,
China,169.2 cm (5ft 6 1/2in),158.2 cm (5ft 2 1/2in),20-24
People's Republic of-Sichuan,,,
Colombia,170.6 cm (5ft 7in),158.7 cm (5ft 2 1/2in),18-22
Colombia,-,155.0 cm (5ft 1in),25-49
Comoros,-,154.8 cm (5ft 1in),25-49
Congo,-,157.7 cm (5ft 2in),25-49
Democratic Republic of the,,,
"Congo, Republic of the",-,159.0 cm (5ft 2 1/2in),25-49
Croatia,180.4 cm (5ft 11in),166.49 cm (5ft 5 1/2in),18
Cuba-Urban,168 cm (5ft 6in),156 cm (5ft 1 1/2in),15
Czech Republic,180.31 cm (5ft 11in),167.22 cm (5ft 6in),17
Denmark,180.4 cm (5ft 11in),-,18-20
Denmark,181.4 cm (5ft 11 1/2in),-,30
Denmark,182.6 cm (6ft 0in),168.7 cm (5ft 6 1/2in),23
Dinaric Alps,185.6 cm (6ft 1in),171.1 cm (5ft 7 1/2in),17
Dominican Republic,-,156.4 cm (5ft 1 1/2in),25-49
El Salvador,-,160.3 cm (5ft 3in),25-49
Egypt,170.3 cm (5ft 7in),158.9 cm (5ft 2 1/2in),20-24
Egypt,-,159.5 cm (5ft 3in),25-49
Estonia,179.1 cm (5ft 10 1/2in),-,17
Ethiopia,-,157.6 cm (5ft 2in),25-49
Europe,177.6 cm (5ft 10in),-,17-29
Finland,178.9 cm (5ft 10 1/2in),165.3 cm (5ft 5in),25-34
Finland,180.7 cm (5ft 11in),167.2 cm (5ft 6in),25
Finland,177.9 cm (5ft 10in),-,30-34
France,175.6 cm (5ft 9in),162.5 cm (5ft 4in),18-70
France,174.1 cm (5ft 8 1/2in),161.9 cm (5ft 3 1/2in),20
France,177.0 cm (5ft 9 1/2in),164.6 cm (5ft 5in),20-29
France,176.2 cm (5ft 9 1/2in),-,30-34
Gabon,-,158.4 cm (5ft 2 1/2in),25-49
Gambia-Rural,168.0 cm (5ft 6in),157.8 cm (5ft 2in),21-49
Germany,175.4 cm (5ft 9in),162.8 cm (5ft 4in),18-79
Germany,178.9 cm (5ft 10 1/2in),166.1 cm (5ft 5 1/2in),18-37
Germany-Urban,180.6 cm (5ft 11in),168.5 cm (5ft 6 1/2in),18-37
Germany,180.17 cm (5ft 11in),-,30-34
Germany,178 cm (5ft 10in),165 cm (5ft 5in),18+
Germany,181 cm (5ft 11 1/2in),168 cm (5ft 6in),18-25
Ghana,-,159.3 cm (5ft 2 1/2in),25-49
Ghana,169.5 cm (5ft 6 1/2in),158.5 cm (5ft 2 1/2in),25-29
Greece,177 cm (5ft 9 1/2in),165 cm (5ft 5in),18-49
Greece,177 cm (5ft 9 1/2in),166 cm (5ft 5 1/2in),20-24
Greece,178.06 cm (5ft 10in),-,18-26
Greece,177.29 cm (5ft 10in),-,30-34
Greece,178.3 cm (5ft 10in),166.6 cm (5ft 5 1/2in),21
Guatemala,-,147.3 cm (4ft 10in),25-49
Guinea,-,158.8 cm (5ft 2 1/2in),25-49
Haiti,-,158.6 cm (5ft 2 1/2in),25-49
Honduras,-,152.0 cm (5ft 0in),25-49
Hong Kong,171.7 cm (5ft 7 1/2in),158.7 cm (5ft 2 1/2in),18
Hong Kong,173.4 cm (5ft 8 1/2in),160.1 cm (5ft 3in),19-20
Hungary,176 cm (5ft 9 1/2in),164 cm (5ft 4 1/2in),Adults
Hungary,177.3 cm (5ft 10in),-,18
India,164.7 cm (5ft 5in),151.9 cm (5ft 0in),20-49
India-Rural,161.2 cm (5ft 3 1/2in),152.1 cm (5ft 0in),17+
India,166.3 cm (5ft 5 1/2in),152.6 cm (5ft 0in),20
Indonesia,158 cm (5ft 2in),147 cm (4ft 10in),50+
Iran,170.3 cm (5ft 7in),157.2 cm (5ft 2in),21+
Iran,173.4 cm (5ft 8 1/2in),159.8 cm (5ft 3in),21-25
Iraq-Baghdad,165.4 cm (5ft 5in),155.8 cm (5ft 1 1/2in),18-44
Ireland,177 cm (5ft 9 1/2in),163 cm (5ft 4in),20-49
Ireland,179 cm (5ft 10 1/2in),163 cm (5ft 4in),20-24
Ireland,176.60 cm (5ft 9 1/2in),-,30
Ireland,177.5 cm (5ft 10in),163.5 cm (5ft 4 1/2in),21
Israel,177 cm (5ft 9 1/2in),166 cm (5ft 5 1/2in),18-21
Italy,176.5 cm (5ft 9 1/2in),162.5 cm (5ft 4in),18
Italy,174.48 cm (5ft 8 1/2in),-,30
Italy,177.2 cm (5ft 10in),167.8 cm (5ft 6in),21
Ivory Coast,170.1 cm (5ft 7in),159.1 cm (5ft 2 1/2in),25-29
Ivory Coast,-,159.8 cm (5ft 3in),25-49
Jamaica,171.8 cm (5ft 7 1/2in),160.8 cm (5ft 3 1/2in),25-74
Japan,172 cm (5ft 7 1/2in),158 cm (5ft 2in),20-49
Japan,172.0 cm (5ft 7 1/2in),158.70 cm (5ft 2 1/2in),20-24
Japan,170.7 cm (5ft 7in),158.0 cm (5ft 2in),17
Jordan,-,158.2 cm (5ft 2 1/2in),25-49
Kazakhstan,-,159.8 cm (5ft 3in),25-49
Kenya,-,159.4 cm (5ft 3in),25-49
North Korea,165.6 cm (5ft 5in),154.9 cm (5ft 1in),20-39
South Korea,170.7 cm (5ft 7in),157.4 cm (5ft 2in),20+
South Korea,173.5 cm (5ft 8 1/2in),160.4 cm (5ft 3in),20-24
South Korea,173.5 cm (5ft 8 1/2in),-,18-19
South Korea-Seoul,173.9 cm (5ft 8 1/2in),-,18-19
Kyrgyzstan,-,158.0 cm (5ft 2in),25-49
Lesotho,-,157.6 cm (5ft 2in),25-49
Liberia,-,157.3 cm (5ft 2in),25-49
Lithuania,177.2 cm (5ft 10in),-,19-25
Lithuania-Urban,178.4 cm (5ft 10in),-,19-25
Lithuania-Rural,176.2 cm (5ft 9 1/2in),-,19-25
Lithuania,181.3 cm (5ft 11 1/2in),167.5 cm (5ft 6in),18
Madagascar,-,154.3 cm (5ft 1/2in),25-49
Malawi-Urban,166 cm (5ft 5 1/2in),155 cm (5ft 1in),16-60
Malaysia,166.3 cm (5ft 5 1/2in),154.7 cm (5ft 1in),20-24
Malaysia,168.5 cm (5ft 6 1/2in),158.1 cm (5ft 2in),"Chinese, 20-24"
Malaysia,169.1 cm (5ft 6 1/2in),155.4 cm (5ft 1in),"Indian, 20-24"
Mali-Southern Mali,171.3 cm (5ft 7 1/2in),160.4 cm (5ft 3in),Adults
Malta,169.9 cm (5ft 7in),159.9 cm (5ft 3in),18
Malta,175.2 cm (5ft 9in),163.8 cm (5ft 4 1/2in),25-34
Mexico,167 cm (5ft 5 1/2in),154 cm (5ft 1/2in),20-49
Mexico,169 cm (5ft 6 1/2in),155 cm (5ft 1in),20-24
Mexico,172 cm (5ft 7 1/2in),-,Young adults
Mexico-Bajio,172 cm (5ft 7 1/2in),-,Adults
Mexico-Central,-,162 cm (5ft 4in),26-39
Mexico-Morelos,167 cm (5ft 5 1/2in),155 cm (5ft 1in),18-76
Moldova,-,161.2 cm (5ft 3 1/2in),25-49
Mongolia,168.4 cm (5ft 6 1/2in),157.7 cm (5ft 2in),25-34
Montenegro,183.2 cm (6ft 0in),168.4 cm (5ft 6 1/2in),Students
Morocco,-,158.5 cm (5ft 2 1/2in),25-49
Mozambique,-,156 cm (5ft 1 1/2in),25-49
Namibia,-,160.7 cm (5ft 3 1/2in),25-49
Nepal,-,150.8 cm (4ft 11 1/2in),25-49
Netherlands,181 cm (5ft 11 1/2in),169 cm (5ft 6 1/2in),"Caucasians, 16-18"
Netherlands,182.70 cm (6ft 0in),-,30-34
Netherlands,180.8 cm (5ft 11in),167.5 cm (5ft 6in),20
Netherlands,183.2 cm (6ft 0in),169.9 cm (5ft 7in),20-30
Netherlands,183.8 cm (6ft 1/2in),170.7 cm (5ft 7in),21
New Zealand,177 cm (5ft 9 1/2in),164 cm (5ft 4 1/2in),20-49
New Zealand,178 cm (5ft 10in),164 cm (5ft 4 1/2in),20-24
Nicaragua,-,153.7 cm (5ft 1/2in),25-49
Nigeria,163.8 cm (5ft 4 1/2in),157.8 cm (5ft 2in),18-74
Nigeria,167.2 cm (5ft 6in),160.3 cm (5ft 3in),20-29
Norway,179.63 cm (5ft 10 1/2in),-,30-34
Norway,180.3 cm (5ft 11in),167 cm (5ft 5 1/2in),20-85
Norway,182.4 cm (6ft 0in),168 cm (5ft 6in),20-25
Norway,181.6 cm (5ft 11 1/2in),168.2 cm (5ft 6in),26-35
Peru,164 cm (5ft 4 1/2in),151 cm (4ft 11 1/2in),20
Philippines,161.9 cm (5ft 3 1/2in),150.2 cm (4ft 11in),20
Philippines,163.4 cm (5ft 4 1/2in),151.7 cm (4ft 11 1/2in),20-39
Poland,178.7 cm (5ft 10 1/2in),165.1 cm (5ft 5in),18
Portugal,173.9 cm (5ft 8 1/2in),-,18
Portugal,172.30 cm (5ft 8in),-,30-34
Portugal,171 cm (5ft 7 1/2in),161 cm (5ft 3 1/2in),20-50
Portugal,173.7 cm (5ft 8 1/2in),163.7 cm (5ft 4 1/2in),21
Qatar,170.8 cm (5ft 7in),161.1 cm (5ft 3 1/2in),18
Rwanda,-,157.7 cm (5ft 2in),25-49
Romania,172 cm (5ft 7 1/2in),157 cm (5ft 2in),-
Russia,177.2 cm (5ft 10in),164.1 cm (5ft 4 1/2in),24
Samoa,-,166.6 cm (5ft 5 1/2in),18-28
Saudi Arabia,168.9 cm (5ft 6 1/2in),156.3 cm (5ft 1 1/2in),18
Senegal,-,163 cm (5ft 4in),25-49
Serbia,182.0 cm (5ft 11 1/2in),166.8 cm (5ft 5 1/2in),18-30
Singapore,171 cm (5ft 7 1/2in),160 cm (5ft 3in),Chinese students
Slovakia,179.4 cm (5ft 10 1/2in),165.6 cm (5ft 5in),18
Slovenia-Ljubljana,180.3 cm (5ft 11in),167.4 cm (5ft 6in),19
South Africa,168 cm (5ft 6in),159 cm (5ft 2 1/2in),19
Sri Lanka,163.6 cm (5ft 4 1/2in),151.4 cm (4ft 11 1/2in),18+
Sri Lanka,165.6 cm (5ft 5in),154.0 cm (5ft 1/2in),18-29
Spain,173.1 cm (5ft 8in),-,18-70
Spain,-,159.6 cm (5ft 3in),18-70
Spain,175.3 cm (5ft 9in),-,18-34
Spain,-,162.6 cm (5ft 4in),18-19
Spain,175.30 cm (5ft 9in),-,30-34
Spain,174 cm (5ft 8 1/2in),163 cm (5ft 4in),20-49
Spain,176 cm (5ft 9 1/2in),166 cm (5ft 5 1/2in),20-24
Spain,178 cm (5ft 10in),166.2 cm (5ft 5 1/2in),21
Swaziland,-,159.1 cm (5ft 2 1/2in),25-49
Sweden,181.5 cm (5ft 11 1/2in),166.8 cm (5ft 5 1/2in),20-29
Sweden,180.4 cm (5ft 11in),-,30
Sweden,177.9 cm (5ft 10in),164.6 cm (5ft 5in),20-74
Switzerland,178.2 cm (5ft 10in),-,19
Switzerland,175.4 cm (5ft 9in),164 cm (5ft 4 1/2in),20-74
Taiwan,171.4 cm (5ft 7 1/2in),159.9 cm (5ft 3in),17
Tanzania,-,156.6 cm (5ft 1 1/2in),25-49
Thailand,170.3 cm (5ft 7in),159 cm (5ft 2 1/2in),15-19
Togo,-,159.0 cm (5ft 2 1/2in),25-49
Tonga,176.1 cm (5ft 9 1/2in),165.3 cm (5ft 5in),40
Turkey,173.6 cm (5ft 8 1/2in),161.9 cm (5ft 3 1/2in),20-22
Turkey-Ankara,174.1 cm (5ft 8 1/2in),158.9 cm (5ft 2 1/2in),18-59
Turkey-Ankara,176.1 cm (5ft 9 1/2in),162 cm (5ft 4in),18-29
Turkey,-,156.4 cm (5ft 1 1/2in),25-49
Uganda,-,159.2 cm (5ft 2 1/2in),25-49
United Arab Emirates,173.4 cm (5ft 8 1/2in),156.4 cm (5ft 1 1/2in),-
UK-England,175.3 cm (5ft 9in),161.9 cm (5ft 3 1/2in),16+
UK-England,177.8 cm (5ft 10in),164.5 cm (5ft 5in),25-34
UK-Scotland,175.0 cm (5ft 9in),161.3 cm (5ft 3 1/2in),16+
UK-Scotland,178.2 cm (5ft 10in),163.5 cm (5ft 4 1/2in),25-34
UK-Wales,177.0 cm (5ft 9 1/2in),162.0 cm (5ft 4in),16
U.S.,175.9 cm (5ft 9 1/2in),162.1 cm (5ft 4in),"All Americans, 20+"
U.S.,176.3 cm (5ft 9 1/2in),163.1 cm (5ft 4in),"All Americans, 20-29"
U.S.,176.9 cm (5ft 9 1/2in),163.7 cm (5ft 4 1/2in),"African Americans, 20-39"
U.S.,171.1 cm (5ft 7 1/2in),158.2 cm (5ft 2 1/2in),"Hispanic/Latino, 20-39"
U.S.,178.4 cm (5ft 10in),164.9 cm (5ft 5in),"Non-Hispanic White, 20-39"
Uruguay,170 cm (5ft 7in),158 cm (5ft 2in),Adults
Uzbekistan,-,159.9 cm (5ft 3in),25-49
Vietnam,162.1 cm (5ft 4in),152.2 cm (5ft 0in),25-29
Vietnam,165.7 cm (5ft 5in),155.2 cm (5ft 1in),20-25
Zambia,-,158.5 cm (5ft 2 1/2in),25-49
Zimbabwe,-,160.3 cm (5ft 3in),25-49
